INFO: 2019-10-13 16:09:14,518: the temperature is 29 degrees celsius
INFO: 2019-10-13 16:09:15,533: the temperature is 29 degrees celsius
INFO: 2019-10-13 16:09:16,547: the temperature is 29 degrees celsius
INFO: 2019-10-13 16:09:17,562: the temperature is 29 degrees celsius
INFO: 2019-10-13 16:09:18,577: the temperature is 29 degrees celsius
INFO: 2019-10-13 16:09:19,591: the temperature is 29 degrees celsius
INFO: 2019-10-13 16:09:20,606: the temperature is 29 degrees celsius
INFO: 2019-10-13 16:09:21,620: the temperature is 29 degrees celsius
INFO: 2019-10-13 16:09:22,635: the temperature is 29 degrees celsius
INFO: 2019-10-13 16:09:23,650: the temperature is 29 degrees celsius
INFO: 2019-10-13 16:09:24,664: the temperature is 29 degrees celsius
INFO: 2019-10-13 16:09:25,679: the temperature is 29 degrees celsius
INFO: 2019-10-13 16:09:26,694: the temperature is 29 degrees celsius
INFO: 2019-10-13 16:09:27,708: the temperature is 29 degrees celsius
INFO: 2019-10-13 16:09:28,723: the temperature is 29 degrees celsius
INFO: 2019-10-13 16:09:29,737: the temperature is 29 degrees celsius
INFO: 2019-10-13 16:09:30,752: the temperature is 29 degrees celsius
INFO: 2019-10-13 16:09:31,767: the temperature is 29 degrees celsius
INFO: 2019-10-13 16:09:32,782: the temperature is 29 degrees celsius
INFO: 2019-10-13 16:09:33,796: the temperature is 29 degrees celsius
INFO: 2019-10-13 16:09:34,811: the temperature is 29 degrees celsius
INFO: 2019-10-13 16:09:35,825: the temperature is 29 degrees celsius
INFO: 2019-10-13 16:09:36,840: the temperature is 29 degrees celsius
INFO: 2019-10-13 16:09:37,855: the temperature is 29 degrees celsius
INFO: 2019-10-13 16:09:38,872: the temperature is 29 degrees celsius
INFO: 2019-10-13 16:09:39,886: the temperature is 29 degrees celsius
INFO: 2019-10-13 19:21:23,534: The envirobit temperature is <unbound method bme280.temperature> degrees celsius
INFO: 2019-10-13 19:21:28,539: The envirobit temperature is <unbound method bme280.temperature> degrees celsius
